3,4,49,43,16,26,30,47,21,42,27,0,12,34,13,6,29,41,2,36,9,1,31,14,38,11,35,40,8,10,25,37,15,20,7,24,5,32,48,19,22,17,33,18,45,39,46,44,28,23
19,49,40,22,7,31,43,39,13,8,0,2,23,41,46,4,36,37,35,10,15,33,9,47,27,48,12,38,34,16,18,24,1,5,26,42,20,17,25,44,11,14,21,28,29,6,32,30,3,45
49,46,9,40,28,36,42,27,38,23,48,17,3,11,0,44,31,29,22,1,47,5,12,13,35,25,19,21,6,20,39,26,45,16,4,24,41,2,15,18,34,30,43,14,10,32,37,7,8,33
30,41,6,35,22,36,14,47,13,8,31,29,49,23,11,40,16,17,28,5,10,1,3,21,19,0,32,34,33,48,4,7,45,39,27,38,9,18,2,44,42,12,43,37,15,20,24,26,25,46
1,35,42,14,4,49,43,33,45,8,25,44,16,47,17,10,15,19,27,39,11,30,5,38,12,6,46,9,13,21,23,37,28,31,2,34,29,18,0,48,24,22,41,32,40,7,3,36,26,20
40,2,47,7,25,20,8,29,26,21,42,16,32,34,28,9,14,45,49,48,37,6,31,19,10,38,12,5,36,4,13,24,44,11,3,23,46,15,39,22,30,18,17,0,35,27,33,41,43,1
40,2,13,46,37,27,0,48,21,4,36,8,7,6,38,25,49,24,10,34,43,12,19,26,18,22,41,45,35,11,3,29,47,16,31,28,32,9,20,5,30,1,42,17,44,39,23,33,15,14
10,9,41,32,5,12,37,25,36,1,28,15,19,4,21,23,6,33,11,46,42,40,20,16,18,39,49,45,30,44,47,26,29,27,8,34,0,7,24,14,13,35,22,38,43,2,31,3,17,48
11,45,9,16,20,15,30,32,40,37,46,1,26,48,21,18,4,5,49,43,17,33,35,3,14,38,24,12,42,0,6,19,39,2,41,25,22,36,10,34,44,27,47,31,8,28,29,7,13,23
5,38,35,25,23,19,4,48,0,15,7,13,45,29,18,27,32,41,2,49,8,20,24,28,10,12,21,14,42,34,22,40,36,47,46,16,30,31,3,43,44,9,26,17,11,39,1,37,33,6
28,27,11,25,44,0,29,26,6,17,32,45,23,22,5,9,2,48,37,18,20,19,49,31,35,38,40,14,24,47,15,12,4,41,39,8,13,34,33,36,16,30,3,46,21,43,7,42,10,1
25,36,35,32,3,20,46,14,21,47,2,28,11,45,44,40,27,19,30,9,49,4,12,34,39,7,17,15,26,24,5,43,37,18,42,23,41,10,8,16,48,6,13,1,22,0,29,33,38,31
13,23,2,3,24,17,5,48,9,44,39,45,20,22,34,47,10,12,46,26,15,11,36,49,0,21,35,31,18,32,41,16,38,4,8,1,6,40,43,14,37,42,28,30,7,25,29,27,33,19
47,0,1,31,49,7,28,12,18,26,2,29,32,6,9,24,25,39,22,4,33,19,35,34,44,13,16,42,3,8,45,23,10,30,40,20,48,43,21,17,46,36,37,41,38,27,5,11,14,15
34,36,11,33,27,47,35,21,41,29,20,2,49,25,37,12,24,26,31,4,13,8,18,44,3,45,40,5,14,28,15,39,30,23,17,43,7,0,32,6,9,46,22,48,19,1,38,42,16,10
12,15,33,43,8,31,29,6,3,49,32,48,16,45,26,11,30,40,39,38,17,20,28,21,19,22,9,34,14,24,5,27,10,18,2,25,0,42,35,4,1,44,46,7,37,41,23,47,13,36
22,5,23,34,47,20,25,48,7,46,4,42,40,38,12,13,44,0,27,6,24,17,19,8,31,49,41,16,28,1,26,39,10,45,21,35,15,3,37,9,36,11,43,32,2,14,18,30,29,33
8,45,22,42,10,48,29,0,35,16,1,37,3,13,4,21,2,6,43,36,9,23,17,27,7,47,31,11,15,14,30,49,39,25,24,19,32,38,18,5,40,26,41,34,20,33,44,46,28,12
41,18,32,43,7,15,1,47,31,48,29,8,39,14,11,23,3,2,33,10,19,36,28,35,45,4,46,49,27,44,26,34,16,24,25,9,6,5,21,37,12,40,30,38,13,0,42,20,22,17
15,0,41,36,21,42,12,6,34,31,20,17,28,8,16,48,18,11,49,25,14,43,19,26,35,33,7,44,9,4,24,3,1,23,2,5,47,13,22,40,30,32,29,45,10,39,38,37,27,46
26,14,44,7,23,6,30,21,15,37,12,32,33,41,40,8,36,45,1,25,13,31,5,49,20,38,24,3,4,46,35,16,28,19,47,43,34,11,0,39,2,48,42,9,22,18,27,17,10,29
47,37,18,8,1,12,31,28,49,35,44,16,27,20,45,17,32,38,48,33,42,22,34,46,36,43,15,24,25,11,10,0,9,30,29,4,39,26,2,13,41,14,3,40,23,7,21,5,6,19
18,48,21,11,37,26,30,6,5,1,4,27,17,46,10,3,20,7,49,35,45,22,36,31,29,12,19,28,9,23,41,33,47,2,25,8,40,16,42,43,14,15,44,24,32,0,13,39,38,34
20,16,49,9,31,10,7,25,29,35,21,42,12,40,22,4,11,15,0,27,5,1,8,24,3,48,28,13,37,2,30,14,34,39,17,45,36,26,38,43,41,47,33,19,18,44,6,32,23,46
32,29,2,18,15,47,22,30,3,5,46,12,11,23,26,21,38,48,40,27,17,36,1,6,13,43,41,42,8,34,4,33,19,28,39,35,14,44,24,31,37,45,9,16,20,7,25,0,10,49
32,3,46,22,25,5,31,2,45,34,47,14,42,44,26,7,10,0,8,18,12,24,1,27,16,4,49,43,6,33,30,19,23,13,39,21,9,40,48,28,17,36,15,37,41,20,35,38,29,11
45,14,46,17,24,27,15,3,0,20,16,32,43,6,48,39,28,44,47,26,13,30,4,35,40,21,18,36,11,9,23,49,29,33,1,5,42,12,22,10,19,34,2,25,31,7,38,8,37,41
49,33,26,38,6,13,15,28,5,8,12,3,16,41,10,25,40,27,32,18,2,29,46,42,47,24,4,44,35,22,11,48,31,37,14,17,30,21,43,1,20,34,36,39,0,7,19,45,23,9
43,48,13,41,32,27,15,37,33,36,16,22,11,5,21,45,3,12,42,29,39,19,0,35,44,31,34,28,40,8,1,38,23,9,10,46,17,7,24,49,4,26,18,47,14,30,6,25,20,2
12,18,17,47,26,13,1,10,48,33,39,25,27,5,31,40,7,38,21,23,41,22,8,16,6,34,36,4,43,44,45,14,46,49,15,29,37,0,32,24,35,30,9,28,20,19,3,2,11,42
25,41,30,33,29,20,43,27,31,36,11,9,40,18,35,44,42,38,2,39,16,7,19,10,37,46,6,13,8,23,1,15,0,34,21,14,5,4,48,3,17,26,28,47,22,24,49,32,12,45
27,39,2,45,21,38,46,29,28,19,25,12,6,8,30,13,26,24,33,11,5,17,43,1,44,16,20,4,37,35,18,40,22,0,15,34,23,47,7,3,48,41,36,10,14,49,31,32,42,9
14,43,35,26,19,11,49,45,22,1,27,41,16,10,3,6,7,48,40,4,25,2,0,15,32,44,23,34,12,42,17,5,18,31,39,24,30,36,38,20,28,9,13,37,46,33,21,8,47,29
17,6,37,49,11,29,43,13,9,26,47,41,28,32,40,21,36,18,8,16,12,45,7,24,34,10,5,42,27,20,33,15,23,44,35,48,3,4,1,31,46,38,14,22,30,19,2,25,39,0
19,48,49,22,13,0,36,16,44,31,9,40,32,8,11,39,27,37,35,20,12,1,23,2,43,34,45,4,25,47,14,26,21,29,18,10,5,41,3,17,33,30,46,28,6,38,24,7,15,42
47,30,35,14,5,18,32,46,26,8,42,1,17,19,16,27,43,41,31,0,12,36,49,13,48,10,28,9,34,11,23,7,20,39,4,37,29,38,33,15,40,44,25,22,2,24,21,45,6,3
5,35,6,17,47,39,27,33,11,2,40,45,10,15,46,0,22,14,44,32,9,1,26,19,8,42,4,43,12,34,20,28,24,25,30,18,36,23,41,3,16,29,13,49,7,21,31,48,38,37
12,3,25,29,10,19,41,23,40,35,2,34,24,37,31,21,11,6,39,7,28,5,46,47,44,32,42,13,4,9,38,48,18,22,45,0,33,8,30,20,16,1,26,49,17,36,43,15,14,27
18,8,30,9,25,39,49,31,22,3,33,19,13,45,7,43,5,27,36,24,35,1,38,46,4,34,44,41,15,42,14,32,16,28,21,10,12,17,20,11,0,6,37,2,47,26,23,29,40,48
26,35,25,38,45,22,20,48,8,23,41,3,29,21,14,37,43,4,24,2,17,13,33,10,46,30,39,6,7,44,36,27,28,15,9,47,5,18,40,12,0,42,31,16,1,11,34,32,49,19
5,29,28,30,20,35,13,17,41,22,19,4,48,47,39,6,27,2,42,18,38,36,16,46,49,26,25,44,14,15,0,32,24,10,7,40,31,34,12,3,8,21,11,1,37,45,9,43,33,23
18,22,7,21,20,42,16,17,39,45,47,13,8,28,3,49,40,11,23,43,46,41,6,26,33,27,44,1,2,0,9,37,32,12,14,30,25,4,48,5,35,31,38,29,34,15,10,19,24,36
35,30,4,2,10,1,38,33,43,24,37,19,14,48,29,26,0,18,5,22,6,49,41,28,39,16,46,36,42,31,21,32,27,47,40,34,25,7,9,12,11,17,23,44,15,13,3,8,45,20
47,9,12,7,31,27,40,34,32,4,13,24,6,16,10,14,23,44,42,25,48,3,26,15,8,22,11,41,46,43,17,21,30,19,0,28,35,38,45,36,1,5,39,20,18,29,2,49,33,37
10,33,9,45,37,32,39,38,40,42,6,12,17,1,13,7,14,0,30,28,35,2,20,4,31,44,27,36,47,26,18,16,11,34,3,43,49,25,48,23,19,8,21,46,24,41,29,5,15,22
46,3,2,25,17,8,5,15,43,4,20,1,42,6,7,40,35,16,37,49,44,34,11,19,27,45,14,36,12,47,30,29,9,38,24,26,10,41,32,18,33,28,39,21,13,31,0,23,48,22
44,20,22,8,47,39,42,35,27,4,34,24,18,49,31,26,10,16,19,6,32,28,40,45,29,17,9,11,38,23,2,14,1,15,46,7,48,36,3,0,33,43,30,21,5,37,12,25,13,41
16,20,35,39,17,6,10,13,18,7,21,49,34,1,11,27,23,5,45,40,47,0,12,19,4,32,2,46,36,37,41,29,9,30,43,24,26,22,44,38,31,42,14,25,28,33,8,48,15,3
15,2,0,14,49,37,4,45,30,7,29,39,35,36,32,18,3,9,17,1,25,40,46,48,33,47,22,19,42,27,11,43,31,5,23,41,13,6,20,21,26,44,8,24,28,38,10,12,16,34
4,14,38,25,32,41,37,28,39,30,2,33,10,42,35,31,26,47,45,36,15,49,44,9,21,18,6,43,5,13,11,23,29,20,19,34,22,48,27,24,7,3,12,17,8,0,40,46,16,1
